Watershed,Inside,Outside
Addicks Reservoir,1772,3208
Armand Bayou,1111,73
Barker Reservoir,277,146
Brays Bayou,6211,1
Buffalo Bayou,4180,2687
Carpenters Bayou,204,17
Cedar Bayou,1224,1918
Clear Creek,4499,64
Cypress Creek,5551,6458
Greens Bayou,10084,4677
Hunting Bayou,1616,274
Jackson Bayou,14,58
Little Cypress Creek,389,95
Luce Bayou,249,0
San Jacinto and Galveston Bay,7,8
San Jacinto River,5122,421
Sims Bayou,974,24
Spring Creek,1007,52
Spring Gully and Goose Creek,96,1
Vince Bayou,88,7
White Oak Bayou,2493,88
Willow Creek,1254,71
