OBJECTID,F2015_Pop,Households,Watershed,DamageStructures
1,333611,104045,Addicks Reservoir,4980
2,62177,18351,Carpenters Bayou,221
3,501594,214196,Buffalo Bayou,6867
4,213964,69375,Barker Reservoir,423
5,77525,24359,Hunting Bayou,1890
6,342821,105839,Sims Bayou,998
7,457892,164550,White Oak Bayou,2581
8,398144,137873,Cypress Creek,12009
9,259215,92186,Spring Creek,1059
10,62804,0,Willow Creek,1325
11,9124,3067,Luce Bayou,249
12,52914,17684,Cedar Bayou,3142
13,820146,301222,Brays Bayou,6212
14,407441,143805,Clear Creek,4563
15,92367,28813,Vince Bayou,95
16,132080,48626,Armand Bayou,1184
17,33936,10770,Little Cypress Creek,484
18,15097,5164,Jackson Bayou,72
19,344016,119314,San Jacinto River,5543
20,567268,172573,Greens Bayou,14761
21,56406,19550,Spring Gully & Goose Creek,97
22,15376,5488,San Jacinto & Galveston Bay,15
